Dataset index,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temperature difference [K],Power [W],Overstrain indicator,Actual failure,Failure probability,Corrective action,Preventive action,Predictive action
7814,L,300.0,311.4,1927,24.6,132,11.399999999999977,4964.156215643376,3247.2000000000003,0,0.003912955602242723,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3862,H,302.5,311.5,1496,43.8,218,9.0,6861.741010264683,9548.4,0,0.020740197915137204,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
13,M,298.6,309.2,1742,30.0,37,10.599999999999966,5472.6544025534195,1110.0,0,0.00370087158920463,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2849,L,300.4,309.3,1766,28.2,207,8.900000000000034,5215.1694686652,5837.4,0,0.006898213978934234,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
5907,H,300.8,310.4,1419,46.4,200,9.599999999999966,6894.91622868659,9280.0,0,0.004455311351351588,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
9450,M,298.0,308.7,1494,42.6,96,10.699999999999989,6664.825982737675,4089.6000000000004,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9079,H,297.3,308.1,1554,42.4,158,10.800000000000011,6899.942776932334,6699.2,0,0.0036404426947292596,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1914,L,298.0,307.7,1643,32.3,200,9.699999999999989,5557.362212469711,6459.999999999999,0,0.0037829151588353537,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
3537,M,302.0,311.0,1980,21.5,20,9.0,4457.919975443917,430.0,0,0.00375288861975275,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8302,L,298.7,310.1,1641,31.1,49,11.400000000000034,5344.3831745073485,1523.9,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2765,M,299.9,309.4,1399,54.8,3,9.5,8028.360970199741,164.39999999999998,0,0.0038042494627685886,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1200,M,296.9,308.0,1430,55.9,71,11.100000000000023,8370.983065000244,3968.9,0,0.00417338006265837,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5700,L,302.5,311.9,1497,41.6,123,9.399999999999977,6521.443694027836,5116.8,0,0.0036923057946811185,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7335,L,299.9,310.4,1328,49.9,206,10.5,6939.484956465519,10279.4,0,0.00951960055245357,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
8645,M,297.6,308.6,1492,35.5,88,11.0,5546.5865496679,3124.0,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7978,L,301.2,312.4,1480,53.5,97,11.199999999999989,8291.71021037466,5189.5,0,0.004011948487493261,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2417,L,298.9,308.3,1576,36.6,7,9.400000000000034,6040.403026910167,256.2,0,0.0036515914882665848,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
735,L,296.9,308.4,1557,32.4,173,11.5,5282.776542570452,5605.2,0,0.0036557093278482763,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3814,M,302.1,310.6,1326,59.1,88,8.5,8206.53116156033,5200.8,1,0.9649021691917732,REPAIR AFTER FAILURE,CONTINUE OPERATION,PERFORM MAINTENANCE
6343,L,300.2,309.8,1827,23.0,6,9.600000000000023,4400.4288298832225,138.0,0,0.0037816449609613537,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6860,L,301.1,311.2,1910,20.2,41,10.099999999999966,4040.297592026713,828.1999999999999,0,0.0036448261294491774,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3106,L,299.8,309.1,1485,39.9,207,9.300000000000011,6204.802570472521,8259.3,0,0.04051559879583738,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
2864,H,300.6,309.4,1380,47.6,246,8.799999999999955,6878.8312743002125,11709.6,1,0.38917141764595853,REPAIR AFTER FAILURE,PERFORM MAINTENANCE,PERFORM MAINTENANCE
5323,M,303.4,312.7,1399,48.4,34,9.300000000000011,7090.742170760355,1645.6,0,0.005072175029757529,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2430,M,298.9,308.2,1335,47.8,40,9.300000000000011,6682.481733450849,1912.0,0,0.003980791316194942,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1812,L,298.2,307.8,1476,36.8,134,9.600000000000023,5688.041994883535,4931.2,0,0.0036512793785209046,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9419,L,298.0,308.4,1911,22.0,13,10.399999999999977,4402.627944740736,286.0,0,0.003640100013952964,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3792,L,302.3,310.9,1459,35.0,32,8.599999999999966,5347.514295185426,1120.0,0,0.003782826113396176,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5483,M,302.6,312.1,2000,21.9,200,9.5,4586.725274241097,4380.0,0,0.00417094253796634,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
8311,M,298.8,310.0,1295,52.7,74,11.199999999999989,7146.75676777386,3899.8,0,0.0038390471933738768,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4625,L,303.0,311.2,1511,45.7,184,8.199999999999989,7231.1818343513305,8408.800000000001,0,0.00540105876449723,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9225,L,298.0,309.1,1820,23.6,120,11.100000000000023,4497.922921899627,2832.0,0,0.0036708670641267096,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7815,M,299.9,311.3,1703,28.4,134,11.400000000000034,5064.791900313368,3805.6,0,0.004177681813834153,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7972,L,301.1,312.2,1397,54.9,81,11.099999999999966,8031.513034828841,4446.9,0,0.00401724073580018,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5679,M,302.2,311.7,1466,49.0,66,9.5,7522.438889265639,3234.0,0,0.0038418686344352817,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6261,L,301.1,310.6,1417,47.6,10,9.5,7063.263707016956,476.0,0,0.00403745487719005,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3603,L,301.7,310.7,1542,40.0,188,9.0,6459.114495780615,7520.0,0,0.003797699986566352,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3032,M,300.6,309.8,1447,42.9,12,9.199999999999989,6500.614934734535,514.8,0,0.0037053399266748195,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5582,L,302.5,312.0,2052,18.9,40,9.5,4061.325318854741,756.0,0,0.0037350315522885055,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2118,H,299.3,308.9,1429,43.0,96,9.599999999999966,6434.714792837734,4128.0,0,0.0036705386591535877,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3531,M,301.9,310.9,1641,33.2,3,9.0,5705.257922625208,99.60000000000001,0,0.003877608976563837,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1636,L,297.9,307.8,1505,37.3,100,9.900000000000034,5878.60053327478,3729.9999999999995,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6456,L,300.7,310.2,1387,50.6,83,9.5,7349.462797758985,4199.8,0,0.0038552045527489075,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8249,L,299.0,310.4,1524,39.8,120,11.399999999999977,6351.797690733986,4776.0,0,0.0036829396915640626,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7499,L,300.3,311.8,1746,26.3,187,11.5,4808.710211143753,4918.1,0,0.003867247775226848,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5218,L,303.8,312.9,1589,37.2,203,9.099999999999966,6190.068500927186,7551.6,0,0.007384934935442222,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
1685,L,297.9,307.3,1824,26.3,5,9.400000000000034,5023.532316796223,131.5,0,0.0038660169511311646,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7218,H,299.9,309.8,1400,48.7,119,9.900000000000034,7139.792904058402,5795.3,0,0.0038400476654179014,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8844,H,297.4,308.9,1645,30.8,196,11.5,5305.731112892682,6036.8,0,0.003640879387455846,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5356,H,303.3,312.6,1692,29.0,125,9.300000000000011,5138.388944211465,3625.0,0,0.003702520349538302,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7223,L,299.8,309.6,1374,51.6,137,9.800000000000011,7424.463086375687,7069.2,0,0.0037148537226153536,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4587,M,302.8,311.0,1507,33.4,82,8.199999999999989,5270.943210241931,2738.7999999999997,0,0.0036981148921113862,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
959,L,295.8,306.5,1505,35.2,86,10.699999999999989,5547.633747219096,3027.2000000000003,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5307,L,304.0,313.3,1530,34.8,211,9.300000000000011,5575.698641591164,7342.799999999999,0,0.09094435577206086,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
9347,M,298.2,308.7,1426,42.6,23,10.5,6361.473796107044,979.8000000000001,0,0.003725031057813295,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8541,L,298.5,309.5,1738,25.2,49,11.0,4586.473946828811,1234.8,0,0.0036990106010949047,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8642,M,297.5,308.4,1596,36.6,80,10.899999999999977,6117.057887657758,2928.0,0,0.0036404426947292596,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3127,L,300.0,309.5,1717,28.3,48,9.5,5088.4480929948995,1358.4,0,0.003974699484088072,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7431,M,300.0,311.4,1352,61.8,10,11.399999999999977,8749.712531366005,618.0,0,0.004861874217556547,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1950,M,298.0,307.9,1479,47.6,76,9.899999999999977,7372.312648326097,3617.6,0,0.003754550900945212,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5328,M,303.7,312.9,1406,41.9,48,9.199999999999989,6169.187381756324,2011.1999999999998,0,0.003797977713534494,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2197,L,299.7,309.0,1412,49.2,85,9.300000000000011,7274.923276064813,4182.0,0,0.003668319544185944,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2994,L,300.5,309.8,1461,52.5,146,9.300000000000011,8032.267017065704,7665.0,0,0.003909787765372156,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6944,M,300.7,311.3,1487,39.8,50,10.600000000000023,6197.587379344776,1989.9999999999998,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5706,L,302.4,311.9,1290,70.0,139,9.5,9456.193887305277,9730.0,1,0.940748315726057,REPAIR AFTER FAILURE,CONTINUE OPERATION,PERFORM MAINTENANCE
6884,L,300.8,311.2,1492,39.0,109,10.399999999999977,6093.433110902763,4251.0,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8021,M,301.0,312.0,1499,34.6,207,11.0,5431.331987183202,7162.200000000001,0,0.055906207587309444,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
8134,L,299.7,311.1,1650,32.4,60,11.400000000000034,5598.318108697012,1944.0,0,0.003654247121627567,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1978,L,298.0,307.7,1442,43.6,148,9.699999999999989,6583.856668079154,6452.8,0,0.0036401305849835795,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2497,M,299.2,308.9,1521,42.3,215,9.699999999999989,6737.491020815205,9094.5,0,0.006185824239478098,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
143,H,298.6,308.4,1407,50.5,164,9.799999999999955,7440.705120394745,8282.0,0,0.00369352450357084,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
136,H,298.7,308.5,1420,45.7,143,9.800000000000011,6795.683788735201,6535.1,0,0.004045393767666781,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2625,L,299.7,309.4,1399,39.9,91,9.699999999999989,5845.46720275492,3630.9,0,0.003640714264850687,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1069,M,296.9,307.8,1840,24.6,157,10.900000000000034,4740.0349957362805,3862.2000000000003,0,0.003640100013952964,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8031,L,300.7,312.0,1550,32.4,5,11.300000000000011,5259.026102109314,162.0,0,0.0036974460413784606,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5523,M,302.5,311.9,1524,34.8,86,9.399999999999977,5553.833156722179,2992.7999999999997,0,0.0036707855201054086,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5113,L,304.1,313.6,1382,46.7,134,9.5,6758.55016356977,6257.8,0,0.0038644640572645605,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1919,L,298.2,308.0,1658,30.0,3,9.800000000000011,5208.760619651877,90.0,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1433,L,298.8,309.8,1363,44.0,25,11.0,6280.253154036236,1100.0,0,0.0038503912032415272,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5375,L,302.9,312.3,1530,34.9,185,9.400000000000034,5591.720764124472,6456.5,0,0.0036515914882665848,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1527,H,298.1,309.1,1425,44.5,49,11.0,6640.541471525424,2180.5,0,0.003798223894142405,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7540,M,300.2,311.3,1587,31.2,73,11.100000000000023,5185.1358428968815,2277.6,0,0.0036732716185580118,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3427,L,301.6,310.6,1562,34.4,162,9.0,5626.885657893655,5572.8,0,0.0036554933488823715,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5788,L,301.8,311.5,1443,43.3,134,9.699999999999989,6543.08926741107,5802.2,0,0.0036650218973421933,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9282,M,298.2,308.9,1414,44.3,68,10.699999999999989,6559.666404646511,3012.3999999999996,0,0.0036422923554144276,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3648,M,302.2,311.5,1443,47.0,90,9.300000000000011,7102.198511970446,4230.0,0,0.0039038238515371826,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9427,L,298.2,308.8,1540,34.8,32,10.600000000000023,5612.141116372806,1113.6,0,0.0036404426947292596,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7950,L,300.8,311.6,1568,36.0,23,10.800000000000011,5911.2207369945545,828.0,0,0.0036439861539669257,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1896,L,297.9,307.5,1574,35.8,153,9.600000000000023,5900.874425188732,5477.4,0,0.003698755236839834,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4264,M,302.6,311.0,1542,39.7,141,8.399999999999977,6410.671137062261,5597.700000000001,0,0.0036660030187704216,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3098,M,299.9,309.2,1389,51.2,185,9.300000000000011,7447.33388089382,9472.0,0,0.0038009806636467303,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4810,M,303.4,312.1,1499,39.4,197,8.700000000000045,6184.811569220177,7761.799999999999,0,0.003961608556520354,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8652,H,297.3,308.3,1461,41.5,108,11.0,6349.315832537652,4482.0,0,0.0036616792649799964,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8693,M,297.2,308.5,1584,40.0,4,11.300000000000011,6635.043684381643,160.0,0,0.003666429492472925,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2608,L,299.5,309.3,1409,44.7,46,9.800000000000011,6595.4910328729475,2056.2000000000003,0,0.003640714264850687,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1904,M,298.0,307.6,1569,35.6,173,9.600000000000023,5849.268529865764,6158.8,0,0.0036725664389574237,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7226,L,299.7,309.6,1399,51.3,144,9.900000000000034,7515.600689256326,7387.2,0,0.0036426807479960645,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4255,M,302.5,311.0,1387,52.1,116,8.5,7567.332248285437,6043.6,0,0.01807083313166144,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9248,M,298.3,309.1,1488,40.6,176,10.800000000000011,6326.413622092982,7145.6,0,0.003662370610046678,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2778,L,300.0,309.4,1308,50.2,32,9.399999999999977,6876.066672765052,1606.4,0,0.003671758904059637,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8620,L,297.6,308.5,1475,42.4,24,10.899999999999977,6549.173485183522,1017.5999999999999,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7553,L,300.3,311.3,1505,39.6,107,11.0,6241.087965621483,4237.2,0,0.003639864083070806,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3718,L,302.4,311.4,1450,44.1,56,9.0,6696.304741126644,2469.6,0,0.00363972720324028,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4291,L,301.8,310.0,2032,19.0,203,8.199999999999989,4043.0203056598248,3857.0,0,0.004513658605493344,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
6451,L,300.7,310.2,1696,27.5,73,9.5,4884.129378780932,2007.5,0,0.0036843395808292935,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
982,L,296.2,306.9,1516,39.1,138,10.699999999999989,6207.326316570904,5395.8,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4099,L,302.0,310.4,1464,47.2,159,8.399999999999977,7236.218854572586,7504.8,0,0.004621067898713599,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4604,L,302.9,311.0,1820,24.6,128,8.100000000000023,4688.512876217407,3148.8,0,0.003663554163409672,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8896,L,297.4,308.7,1638,31.9,131,11.300000000000011,5471.837588463486,4178.9,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7844,L,300.1,311.7,1503,42.6,208,11.599999999999966,6704.975536850552,8860.800000000001,0,0.013511109944750285,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
3459,L,301.5,310.4,1270,54.2,26,8.899999999999977,7208.27962390666,1409.2,0,0.004859846632947344,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3833,M,302.3,311.0,1541,36.6,143,8.699999999999989,5906.257020601883,5233.8,0,0.003649563387427804,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7490,M,300.4,311.8,1707,30.0,165,11.400000000000034,5362.698659677777,4950.0,0,0.003879853616196106,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4028,L,302.0,310.9,1455,43.2,220,8.899999999999977,6582.264927801335,9504.0,0,0.04266367298678798,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
677,L,297.9,309.2,1478,39.7,10,11.300000000000011,6144.599183254229,397.0,0,0.0036649474821434805,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4324,L,301.7,310.2,1486,43.0,66,8.5,6691.38291263602,2838.0,0,0.003944253930873369,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
56,L,298.8,309.1,1477,42.4,158,10.300000000000011,6558.053720417668,6699.2,0,0.003642097068128957,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2414,L,299.1,308.5,1415,43.4,0,9.399999999999977,6430.944881653426,0.0,0,0.003692440553703713,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7662,M,300.5,311.6,1658,30.4,170,11.100000000000023,5278.2107612472355,5168.0,0,0.003905182672423847,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2660,L,299.8,309.3,1291,56.4,188,9.5,7624.896697674715,10603.199999999999,0,0.008126673934862813,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1938,L,298.1,307.9,1517,40.8,50,9.799999999999955,6481.482635474174,2039.9999999999998,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3716,L,302.3,311.4,1609,32.3,49,9.099999999999966,5442.358977397301,1582.6999999999998,0,0.003648039527592778,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7730,L,300.6,311.9,1472,44.2,126,11.299999999999955,6813.318595497351,5569.200000000001,0,0.003674569511165219,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2413,L,299.0,308.5,1886,23.0,198,9.5,4542.533537580602,4554.0,0,0.004652517256880543,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5543,L,302.4,311.8,1255,59.0,138,9.400000000000034,7753.974267835207,8142.0,0,0.013266263309570172,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
810,L,296.9,307.7,1550,39.7,124,10.800000000000011,6443.930131288264,4922.8,0,0.0036404426947292596,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4933,H,303.4,312.2,1554,36.8,85,8.800000000000011,5988.629579979006,3127.9999999999995,0,0.0036404426947292596,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2988,M,300.6,309.8,1532,42.5,130,9.199999999999989,6818.303255841048,5525.0,0,0.003694270385163889,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4136,L,301.7,310.1,1487,48.0,36,8.400000000000034,7474.477241420836,1728.0,0,0.004163707016046961,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6564,L,301.4,310.6,1557,38.2,157,9.200000000000045,6228.458763154053,5997.400000000001,0,0.0036412438728719277,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4474,L,302.7,310.5,1563,35.0,8,7.800000000000011,5728.694203820988,280.0,0,0.004838717233225031,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6889,H,300.9,311.4,1387,42.7,121,10.5,6202.017024986338,5166.700000000001,0,0.003647823611073292,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
973,L,295.9,306.6,1679,30.4,117,10.700000000000045,5345.063852915626,3556.7999999999997,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7739,L,300.5,311.9,1576,31.1,149,11.399999999999977,5132.692189532956,4633.900000000001,0,0.003995423186455557,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5417,L,302.6,312.4,1386,45.8,38,9.799999999999955,6647.484391289858,1740.3999999999999,0,0.00378838123798607,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3666,M,302.3,311.6,1608,39.9,136,9.300000000000011,6718.735712673276,5426.4,0,0.0036562809865960944,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7345,L,299.6,310.2,1381,60.5,13,10.599999999999966,8749.387900125132,786.5,0,0.005636101930510752,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6845,M,301.3,311.5,1648,32.4,0,10.199999999999989,5591.532268565256,0.0,0,0.0036747738029636926,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7502,H,300.3,311.7,1655,29.9,193,11.399999999999977,5182.004722218804,5770.7,0,0.003698966743962833,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3712,L,302.3,311.5,1543,33.1,39,9.199999999999989,5348.383469152919,1290.9,0,0.0036704688155233013,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5559,M,302.5,312.0,1451,43.2,189,9.5,6564.169354116658,8164.8,0,0.003692206186224487,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6744,M,301.7,311.0,1298,58.1,168,9.300000000000011,7897.314668642998,9760.800000000001,0,0.006746352095402561,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
539,M,297.4,309.3,1775,25.8,91,11.900000000000034,4795.641185704819,2347.8,0,0.003640115871559538,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8964,M,297.2,307.9,1456,44.9,85,10.699999999999989,6845.991159094686,3816.5,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8957,L,297.4,308.1,1348,53.7,68,10.700000000000045,7580.411745699884,3651.6000000000004,0,0.003751767907895152,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6575,M,301.4,310.5,1451,45.3,183,9.100000000000023,6883.260919941772,8289.9,0,0.0036761597550612627,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4676,L,303.4,311.5,1879,21.3,78,8.100000000000023,4191.167343227607,1661.4,0,0.0036985210837264053,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
8247,L,299.0,310.4,1713,28.0,116,11.399999999999977,5022.778334559362,3248.0,0,0.003640115871559538,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
1926,L,298.0,307.7,1606,30.8,17,9.699999999999989,5179.941743042948,523.6,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4588,L,302.8,311.0,1564,38.5,85,8.199999999999989,6305.595334775194,3272.5,0,0.003638926025097612,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
9810,L,298.1,309.0,1502,40.9,153,10.899999999999977,6433.123052559914,6257.7,0,0.003642097068128957,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5820,L,301.3,311.1,1723,27.6,210,9.800000000000011,4979.927010764397,5796.0,0,0.010272961780879159,CONTINUE OPERATION,PERFORM MAINTENANCE,CONTINUE OPERATION
5023,M,304.0,313.0,1575,34.5,92,9.0,5690.209693814513,3174.0,0,0.0036412438728719277,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
